region_id,label,network,role,dk_ctrl_A,dk_glio_A,dk_diff_A,degree,strength,eigcent,slope_ctrl_mild,slope_ctrl_full,slope_glio_mild,slope_glio_full,gap_d0,gap_d05,gap_d1
0,Precentral L,Somatomotor,not tested,0.04474576271186443,-0.025169491525423783,-0.06991525423728823,7,0.09368050436786811,0.019463735133464728,,,,,,,
1,Precentral R,Somatomotor,not tested,-0.11745762711864399,-0.15661016949152542,-0.03915254237288142,8,0.10994410846820818,0.02994498368428833,,,,,,,
2,Frontal Sup L,Frontoparietal,not tested,-0.013983050847457565,-0.17618644067796616,-0.16220338983050864,12,0.1440644542309386,0.0287437949444721,,,,,,,
3,Frontal Sup R,Frontoparietal,not tested,0.025169491525423655,-0.12025423728813567,-0.1454237288135593,8,0.12467513916987732,0.018436373479027823,,,,,,,
4,Frontal Sup Orb L,Limbic,not tested,-0.06432203389830514,-0.013983050847457601,0.05033898305084753,8,0.09535641770742016,0.01659301450133993,,,,,,,
5,Frontal Sup Orb R,Limbic,not tested,-0.24330508474576268,-0.20974576271186446,0.03355932203389822,7,0.17586595061549196,0.03958430588086995,,,,,,,
6,Frontal Mid L,Ventral Attn,not tested,-0.20415254237288138,-0.08389830508474584,0.12025423728813554,27,1.7745927621239237,0.3813065000741277,,,,,,,
7,Frontal Mid R,Ventral Attn,not tested,0.10067796610169487,0.008389830508474508,-0.09228813559322038,19,1.1097516462742982,0.2996113809804921,,,,,,,
8,Frontal Mid Orb L,Limbic,not tested,-0.08669491525423732,-0.10627118644067801,-0.019576271186440692,9,0.39133689408609185,0.10778120880977908,,,,,,,
9,Frontal Mid Orb R,Limbic,not tested,0.06711864406779655,0.06152542372881366,-0.005593220338982891,11,0.41642897130938905,0.10828167063263593,,,,,,,
10,Frontal Inf Oper L,Ventral Attn,not tested,-0.1426271186440678,-0.14822033898305095,-0.005593220338983163,6,0.5809708334991279,0.18525558564071215,,,,,,,
11,Frontal Inf Oper R,Ventral Attn,not tested,0.04474576271186426,-0.08389830508474579,-0.12864406779661006,10,0.5586194491244506,0.16389453403242743,,,,,,,
12,Frontal Inf Tri L,Frontoparietal,not tested,-0.265677966101695,-0.206949152542373,0.05872881355932198,8,0.5312754342859978,0.1093077934678635,,,,,,,
13,Frontal Inf Tri R,Frontoparietal,not tested,-0.19855932203389828,-0.20415254237288152,-0.005593220338983223,23,1.2226271639300514,0.3154785351753007,,,,,,,
14,Frontal Inf Orb L,Limbic,driver,-0.5425423728813558,-0.050338983050847524,0.49220338983050815,12,0.393108497480699,0.08720471866312017,1.0403389830508472,0.5839322033898293,0.4698305084745678,-0.033559322033897776,-2.114237288135598,-1.8289830508474552,-1.728305084745763
15,Frontal Inf Orb R,Limbic,not tested,-0.1929661016949153,-0.05593220338983054,0.13703389830508475,22,1.4710826118365254,0.27918140941606495,,,,,,,
16,Rolandic Oper L,Somatomotor,not tested,-0.31322033898305085,-0.016779661016949252,0.2964406779661016,11,0.6740605021511562,0.10011534286825075,,,,,,,
17,Rolandic Oper R,Somatomotor,not tested,0.21533898305084748,-0.09508474576271193,-0.3104237288135596,21,1.3532957022194747,0.2081493490574423,,,,,,,
18,SMA L,Somatomotor,non-driver,0.002796610169491404,-0.3887288135593222,-0.3915254237288139,12,0.30083176184931437,0.060496197772223925,-2.818983050847458,-1.9464406779661194,-4.396271186440688,-3.3894915254237565,-1.2920338983050854,-0.5033898305084676,0.45305084745762514
19,SMA R,Somatomotor,driver,-0.5117796610169489,-0.37194915254237304,0.13983050847457618,15,0.6728934701961896,0.10671359536637587,-2.5505084745762887,-2.6511864406779746,-3.423050847457628,-3.6781016949152643,-1.409491525423725,-0.9732203389830474,-0.637627118644069
20,Olfactory L,Limbic,not tested,-0.324406779661017,0.0027966101694914397,0.3272033898305084,16,0.8819035231599786,0.12949394543609377,,,,,,,
21,Olfactory R,Limbic,not tested,0.1286440677966101,0.22932203389830505,0.10067796610169495,11,0.3359971466086881,0.018724343915290532,,,,,,,
22,Frontal Sup Med L,Default Mode,driver,-0.6180508474576272,-0.04474576271186453,0.5733050847457627,26,0.8686803338738349,0.060340324859277115,3.1881355932203492,-6.416542372881371,5.201694915254215,2.2686101694915095,-2.5169491525423737,-3.5237288135593303,-11.326271186440678
23,Frontal Sup Med R,Default Mode,driver,-0.5145762711864404,0.08389830508474568,0.5984745762711863,6,0.12362615418690451,0.005424141209807028,-0.7383050847457384,-0.46983050847459784,0.9061016949152555,0.20806779661015848,-1.1074576271186416,-1.9296610169491473,-1.5772881355932284
24,Frontal Med Orb L,Limbic,driver,-0.6348305084745761,0.08110169491525414,0.7159322033898307,20,0.6193949320784498,0.025978039235263203,-1.5772881355932011,-7.63138983050849,-3.3559322033898322,-3.4700338983050885,-1.5101694915254242,-0.6208474576271144,-6.896440677966105
25,Frontal Med Orb R,Limbic,driver,-0.6236440677966103,0.37194915254237304,0.995593220338983,19,0.568657174227879,0.0527333467653843,-4.295593220338972,-7.235389830508479,-2.751864406779665,-4.617762711864437,-1.30881355932204,-2.080677966101689,-4.480169491525427
26,Rectus L,Limbic,not tested,0.0167796610169491,0.0027966101694914397,-0.01398305084745766,13,0.45668470046087317,0.01990519868735876,,,,,,,
27,Rectus R,Limbic,not tested,-0.28525423728813554,-0.03355932203389839,0.2516949152542372,17,0.5906925028263248,0.02686290955001202,,,,,,,
28,Insula L,Ventral Attn,not tested,0.1454237288135594,-0.027966101694915247,-0.17338983050847465,3,0.03391504152500275,0.0019740303133011124,,,,,,,
29,Insula R,Ventral Attn,not tested,0.25169491525423743,-0.0027966101694915104,-0.254491525423729,20,0.5399812862487804,0.029966764022431328,,,,,,,
30,Cingulate Ant L,Default Mode,not tested,-0.12025423728813564,-0.053135593220338964,0.06711864406779668,18,0.8160214262566545,0.037050294652492224,,,,,,,
31,Cingulate Ant R,Default Mode,not tested,-0.0811016949152543,-0.11466101694915257,-0.03355932203389827,10,0.42325786500338425,0.016044844608905404,,,,,,,
32,Cingulate Mid L,Default Mode,not tested,0.15101694915254243,0.10347457627118649,-0.04754237288135595,9,0.35066972845333433,0.014001850721412905,,,,,,,
33,Cingulate Mid R,Default Mode,not tested,0.21533898305084742,0.07830508474576277,-0.1370338983050846,4,0.06559464863826453,0.0012436126052621304,,,,,,,
